Estado,P',P,V,LV,D,TIPO,ES,ARG,A,CMD,LD,OPRD,COND,CABEÇALHO,EXP_R,CORPO,REPETE,TESTE,AÇÃO
0,,1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
2,,,3,,,,,,,,,,,,,,,,
3,,,,,,,6,,5,7,,,8,14,,,10,15,
4,,,,18,19,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
6,,,,,,,6,,22,7,,,8,14,,,10,15,
7,,,,,,,6,,23,7,,,8,14,,,10,15,
8,,,,,,,6,,24,7,,,8,14,,,10,15,
9,,,,,,,,,,,,,,,,,,,
10,,,,,,,6,,25,7,,,8,14,,,10,15,
11,,,,,,,,,,,,,,,,,,,
12,,,,,,,,27,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,
14,,,,,,,33,,,34,,,35,14,,31,36,15,
15,,,,,,,38,,,39,,,41,14,,,40,15,37
16,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,
19,,,,45,19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,
21,,,,,,47,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,
33,,,,,,,33,,,34,,,35,14,,53,36,15,
34,,,,,,,33,,,34,,,35,14,,54,36,15,
35,,,,,,,33,,,34,,,35,14,,55,36,15,
36,,,,,,,33,,,34,,,35,14,,56,36,15,
37,,,,,,,,,,,,,,,,,,,
38,,,,,,,38,,,39,,,41,14,,,40,15,62
39,,,,,,,38,,,39,,,41,14,,,40,15,63
40,,,,,,,38,,,39,,,41,14,,,40,15,64
41,,,,,,,38,,,39,,,41,14,,,40,15,65
42,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,67,,,66,,,,
44,,,,,,,,,,,,67,,,68,,,,
45,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,58,59,,,,,,,
58,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,75,,,,,,,
72,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,77,,,,,,,
74,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,
