Estado,NaoTerminal,Follow,QtdSimbolos
0,P',$,0
1,,,
2,P,$,1
3,P,$,2
4,V,fim leia escreva id enquanto se,1
5,,,
6,A,$,1
7,A,$,1
8,A,$,1
9,,,
10,A,$,1
11,,,
12,ES,fim leia escreva id enquanto se fimse fimenquanto,1
13,,,
14,COND,fim leia escreva id enquanto se fimse fimenquanto ,1
15,REPETE,leia escreva id fimenquanto enquanto se fim fimse,1
16,,,
17,,,
18,,,
19,LV,fim leia escreva id enquanto se,1
20,,,
21,D,varfim id,1
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,CORPO,fim leia escreva id enquanto se fimse fimenquanto ,1
34,CORPO,fim leia escreva id enquanto se fimse fimenquanto ,1
35,CORPO,fim leia escreva id enquanto se fimse fimenquanto ,1
36,CORPO,fim leia escreva id enquanto se fimse fimenquanto ,1
37,,,
38,AÇÃO,leia escreva id fimenquanto enquanto se fim fimse,1
39,AÇÃO,leia escreva id fimenquanto enquanto se fim fimse,1
40,AÇÃO,leia escreva id fimenquanto enquanto se fim fimse,1
41,AÇÃO,leia escreva id fimenquanto enquanto se fim fimse,1
42,,,
43,CABEÇALHO,leia escreva id fimse se enquanto ,2
44,TESTE,leia escreva id fimenquanto enquanto se ,2
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,CMD,fim leia escreva id enquanto se fimse fimenquanto,2
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,LD,;,2
72,,,
73,EXP_R,),2
74,,,
75,,,
76,,,
77,,,
78,,,
