Regra,A,Beta,TamanhoBeta
1,P' ,P,1
2,"P
",inicio V A,3
3,V,varinicio LV,2
4,LV,D LV,2
5,LV,varfim;,2
6,D,id TIPO;,3
7,TIPO,int,1
8,TIPO,real,1
9,TIPO,lit,1
10,A,ES A,2
11,ES,leia id;,3
12,ES,escreva ARG;,3
13,ARG,literal,1
14,ARG,num,1
15,ARG,id,1
16,A,CMD A,2
17,CMD,id rcb LD;,4
18,LD ,OPRD opm OPRD,3
19,LD ,OPRD,1
20,OPRD,id,1
21,OPRD,num,1
22,A,COND A,2
23,COND,CABEÇALHO CORPO,2
24,CABEÇALHO,se ( EXP_R ) então,5
25,EXP_R,OPRD opr OPRD,3
26,CORPO,ES CORPO,2
27,CORPO ,CMD CORPO,2
28,CORPO ,COND CORPO,2
29,CORPO ,fimse,2
30,A,fim,1
31,REPETE,TESTE AÇÃO,2
32,TESTE,enquanto ( EXP_R ) faça,5
33,AÇÃO,ES AÇÃO,2
34,AÇÃO,CMD AÇÃO,2
35,AÇÃO,REPETE AÇÃO,2
36,AÇÃO,COND AÇÃO,2
37,AÇÃO,fimenquanto,1
38,A,REPETE A,2
39,CORPO,REPETE CORPO,2
